dirty_data,product,alt_lang,question_text,question_code,clean_data,golden_data,expected_output
Argentina Men's National Basketball Team,Kids Argentina,es-AR,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,Kids Australia,,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,Kids Canada,fr,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,Kids Germany,de,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,Kids India,,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,Kids Mexico,es-MX,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,Kids Philippines,fil,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,Kids Poland,pl,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,Kids Republic of Ireland,,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,Kids Saudi Arabia,ar,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,Kids South Africa,,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,Kids South Korea,ko,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,Kids Spain,es,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,Kids Turkey,tr,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,Kids UK,,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,Kids US,es-MX,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,NextGen France,fr,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,NextGen Italy,it,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,NextGen Spain,es,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,NextGen UK,,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
Argentina Men's National Basketball Team,NextGen US,,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
"As an AI, I don't have personal preferences like favorite sports teams. However, I can access and process information about sports teams across various leagues and sports. Is there a particular sports team or league you're interested in? I can provide you with information about their performance, history, or recent news.",Kids US,es-MX,What is your favourite sports team?,HOBB011,[REVIEW],Y,Argentina Men's National Basketball  team
Barketball,NextGen Spain,es,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
bayer muinch,NextGen Spain,es,What is your favourite sports team?,HOBB011,Bayer[B] Munich,Y,FC Bayern Munich
Bayer Munic femenino,NextGen Spain,es,What is your favourite sports team?,HOBB011,Bayer München,Y,FC Bayern Munich
Bayern muinch,NextGen Germany,de,What is your favourite sports team?,HOBB011,Bayern Munich,Y,FC Bayern Munich
bayern münchen (munich),NextGen Germany,de,What is your favourite sports team?,HOBB011,Bayern München,Y,FC Bayern Munich
Bayern München FC,NextGen Germany,de,What is your favourite sports team?,HOBB011,Bayern München,Y,FC Bayern Munich
bayern münchen fcbayern,NextGen Germany,de,What is your favourite sports team?,HOBB011,Bayern Munich,Y,FC Bayern Munich
"Bayern, München",Kids Germany,de,What is your favourite sports team?,HOBB011,Bayern Munich,Y,FC Bayern Munich
Body en and,NextGen France,fr,What is your favourite sports team?,HOBB011,Body+)\nic{[REVIEW]},Y,None
Bolton celtic,Kids Indonesia,id,What is your favourite sports team?,HOBB011,Bolton,Y,Boston Celtics
Bolton celtics,Kids Indonesia,id,What is your favourite sports team?,HOBB011,Bolton Celtics,Y,Boston Celtics
CANADIAN FOOTBALL,Kids Canada,fr,What is your favourite sports team?,HOBB011,[REVIEW],Y,Canadian Mens National Football team
Cavese,NextGen Italy,it,What is your favourite sports team?,HOBB011,"***
Cavese",Y,None
chelcy,Kids South Korea,ko,What is your favourite sports team?,HOBB011,Chelsea,Y,Chelsea FC
Chelsea Chelsea Chelsea,Kids UK,,What is your favourite sports team?,HOBB011,Chelsea,Y,Chelsea FC
Chelsea F.C. (切尔西足球俱乐部) (Chelsea F.C.),Kids China,zh-Hans,What is your favourite sports team?,HOBB011,Chelsea F.,Y,Chelsea FC
Chelsea F.C. (切尔西足球俱乐部) (Chelsea F.C.)AC,Kids China,zh-Hans,What is your favourite sports team?,HOBB011,Chelsea F.,Y,Chelsea FC
Chelsea F.C. no,Kids Indonesia,id,What is your favourite sports team?,HOBB011,ChelseaFC,Y,Chelsea FC
Chelsea F.C.football,Kids UK,,What is your favourite sports team?,HOBB011,Chelsea FC,Y,Chelsea FC
Chelsea Ra,Kids Indonesia,id,What is your favourite sports team?,HOBB011,Chelsea,Y,Chelsea FC
Colombia National Football Team,Kids UK,,What is your favourite sports team?,HOBB011,Colombia,Y,Colombia National Football Team
Colombia National Football Team,NextGen Spain,es,What is your favourite sports team?,HOBB011,Colombia,Y,Colombia National Football Team
Colombia volleyball team,NextGen Germany,de,What is your favourite sports team?,HOBB011,Colombia,Y,Colombia National Volleyball Team
Colombian soccer’s,Kids Canada,fr,What is your favourite sports team?,HOBB011,,Y,Colombia National Football Team
Dc Barcelone,NextGen France,fr,What is your favourite sports team?,HOBB011,DC Barcelona,Y,FC Barcelona
England mens football,Kids UK,,What is your favourite sports team?,HOBB011,England,Y,England Mens National Football team
England men's football team,NextGen UK,,What is your favourite sports team?,HOBB011,England,Y,England Mens National Football team
England National Football Team_x000D_,NextGen UK,,What is your favourite sports team?,HOBB011,England National Football Team,Y,England Mens National Football team
England National Netball Team,Kids Australia,,What is your favourite sports team?,HOBB011,England National Netball Team,Y,England National Netball Team
England National Netball Team,Kids South Africa,,What is your favourite sports team?,HOBB011,England National Netball Team,Y,England National Netball Team
England women’s rugby,NextGen UK,,What is your favourite sports team?,HOBB011,England [REVIEW],Y,England Womens Rugby
English gymnastics,Kids UK,,What is your favourite sports team?,HOBB011,[REVIEW],Y,Gymnastics
English preiemr league,Kids UK,,What is your favourite sports team?,HOBB011,[REVIEW],Y,English Premier League
English premiur leage,Kids India,,What is your favourite sports team?,HOBB011,English Premier League,Y,English Premier League
Équidé de france,Kids France,fr,What is your favourite sports team?,HOBB011,Équidé de France,Y,France National Football team
Équipe d France de football,Kids France,fr,What is your favourite sports team?,HOBB011,Équipe d'France,Y,France National Football team
F c barcelone,NextGen France,fr,What is your favourite sports team?,HOBB011,F,Y,FC Barcelona
F1 checo perez,Kids Mexico,es-MX,What is your favourite sports team?,HOBB011,Checo Perez,Y,F1
Fac porto,Kids France,fr,What is your favourite sports team?,HOBB011,Fac Porto,Y,FC Porto
Fc Bayern München frauenliga,NextGen Germany,de,What is your favourite sports team?,HOBB011,Fc Bayern München,Y,FC Bayern Munich
FC Bayern Munichis,Kids Australia,,What is your favourite sports team?,HOBB011,FC Bayern Munich,Y,FC Bayern Munich
France match,Kids France,fr,What is your favourite sports team?,HOBB011,France,Y,France National Football team
France Men's National Basketball Team,Kids France,fr,What is your favourite sports team?,HOBB011,France,Y,France Men's National Basketball Team
France Men's National Basketball Team,NextGen France,fr,What is your favourite sports team?,HOBB011,France,Y,France Men's National Basketball Team
France National Basketball Team,Kids Brazil,pt-BR,What is your favourite sports team?,HOBB011,France,Y,France Men's National Basketball Team
France National Basketball Team,Kids France,fr,What is your favourite sports team?,HOBB011,France,Y,France Men's National Basketball Team
France National Basketball Team,Kids India,,What is your favourite sports team?,HOBB011,France,Y,France Men's National Basketball Team
France National Basketball Team,Kids Philippines,fil,What is your favourite sports team?,HOBB011,France,Y,France Men's National Basketball Team
France National Basketball Team,NextGen France,fr,What is your favourite sports team?,HOBB011,France,Y,France Men's National Basketball Team
France National Basketball Team,NextGen Germany,de,What is your favourite sports team?,HOBB011,France,Y,France Men's National Basketball Team
France National Basketball Team,NextGen Spain,es,What is your favourite sports team?,HOBB011,France,Y,France Men's National Basketball Team
Fútbol  club barcelona,NextGen Spain,es,What is your favourite sports team?,HOBB011,Fútbol Club Barcelona,Y,FC Barcelona
Grand Prix Motorcycle Racing,Kids Brazil,pt-BR,What is your favourite sports team?,HOBB011,[REVIEW],Y,MotoGP
Grand Prix Motorcycle Racing,NextGen France,fr,What is your favourite sports team?,HOBB011,[REVIEW],Y,MotoGP
Grand Prix Motorcycle Racing,NextGen Italy,it,What is your favourite sports team?,HOBB011,[REVIEW],Y,MotoGP
H B C nantes,Kids France,fr,What is your favourite sports team?,HOBB011,"H. B. Concluding, the cleaned name is Al. B. Nantes",Y,HBC Nantes
I am not a fan of sports.,Kids US,es-MX,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I am not interested in ball sports.,NextGen France,fr,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
"I am not into sports but I watch some, maybe The Rockets",Kids Philippines,fil,What is your favourite sports team?,HOBB011,Houston Rockets,Y,Houston Rockets
I am not into the sport,NextGen Italy,it,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I am so sorry for your loss and I,NextGen Germany,de,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I dint have,NextGen Spain,es,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I don t watch sports,NextGen Germany,de,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I don’t have any. I’m not really interested in sports,Kids South Africa,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I don’t have it.,NextGen Spain,es,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I don’t have one anymore,NextGen Germany,de,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
"I don’t have one, however if someone asks its Münster, since that’s where I live",NextGen Germany,de,What is your favourite sports team?,HOBB011,Münster,Y,Münster
I don’t have sports team,Kids Australia,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I don’t know this answer to this problem,Kids US,es-MX,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
"I don’t know, England, bro",NextGen UK,,What is your favourite sports team?,HOBB011,England,Y,None
I don’t watch any sports,NextGen US,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I dont enjoy watching sports,Kids Canada,fr,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
"I don't follow sports, I did keep up with the Japanese V.League Instagram this season.",NextGen US,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
"I don't have a favorite sports team, but I'd love to know if you do! What's your favorite team?",Kids Canada,fr,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
"I dont have any, I dont watch sports",Kids South Africa,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
"I don't have any, I watch figure skating",NextGen France,fr,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
i don't have ir,Kids Canada,fr,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I don't have one I don't watch sports,Kids Republic of Ireland,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
"I don't have personal preferences, but I know a lot about popular sports teams! If I were to pick, I might go with FC Barcelona for soccer, Golden State Warriors for basketball, or New England Patriots for American football—big names in their sports with lots of history.  Do you have a favorite team you're passionate about?",Kids India,,What is your favourite sports team?,HOBB011,FC Barcelona,Y,FC Barcelona
I dont hwve one,Kids Republic of Ireland,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I dont know and not really like to watch. Only when my family watch ill see for a bit,Kids Indonesia,id,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
"i don't like sports, but german handball national team i guess",NextGen Germany,de,What is your favourite sports team?,HOBB011,German Handball National Team,Y,German National Handball team
I dont like team sports,Kids Australia,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I don't play sport,Kids Australia,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I don't support sport,NextGen France,fr,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I dont watch much sport,Kids South Africa,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I dunno Canucks i guess,Kids Canada,fr,What is your favourite sports team?,HOBB011,Canucks,Y,Vancouver Canucks
I feel like,NextGen US,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I have no interest in sports,NextGen Spain,es,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I have nothing in my mind,Kids Australia,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I I I am,NextGen UK,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I irked j tyke ks,NextGen Germany,de,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I je,NextGen UK,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I just like the ppl I bet on but I do have a few go 2s,NextGen US,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
"I learned from the tree I live in, I love being like this. Sarcasm looks at me strangely, and the smile I gave him was unique.I took extreme measures. Paradise is an illusion, and I am the creator. Give me a little bit of silence, that's what I love.",NextGen Spain,es,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I like my curling team,Kids Canada,fr,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I like single sports,NextGen Italy,it,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I love myself more than everything,Kids Canada,fr,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I love swimming!,Kids Australia,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I say cheese,Kids US,es-MX,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I sidn,NextGen US,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I ter,NextGen Italy,it,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
I’m going on the boat to to,NextGen US,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
Iam not planning,NextGen Germany,de,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
